"model","mode","threads","trial","warmup","temp_start_c","temp_end_c","started","ended","pp_tokens","tg_tokens","pp_seconds","pp_tok_s","tg_seconds","tg_tok_s"
"gemma3","neon","1","1","True","38.3","38.5","2026-08-27T21:16:18.3231694+05:30","2026-08-27T21:17:11.4715228+05:30","128","128","21.878277","5.850552","27.652811","4.628824"
"gemma3","neon","1","2","False","38.5","39","2026-08-27T21:17:11.6525269+05:30","2026-08-27T21:18:04.8300333+05:30","128","128","21.890800","5.847205","27.654379","4.628562"
"gemma3","neon","1","3","False","39","39.3","2026-08-27T21:18:04.9524106+05:30","2026-08-27T21:18:58.0978571+05:30","128","128","21.877552","5.850746","27.645561","4.630038"
"gemma3","neon","1","4","False","39.3","39.6","2026-08-27T21:18:58.2341172+05:30","2026-08-27T21:19:51.5716351+05:30","128","128","21.876467","5.851036","27.813007","4.602163"
"gemma3","neon","4","1","True","39.6","40.4","2026-08-27T21:19:51.7037178+05:30","2026-08-27T21:20:14.5894527+05:30","128","128","8.142618","15.719760","12.662636","10.108479"
"gemma3","neon","4","2","False","40.4","41","2026-08-27T21:20:14.7191474+05:30","2026-08-27T21:21:06.7701383+05:30","128","128","19.293167","6.634473","28.887232","4.431024"
"gemma3","neon","4","3","False","41","41.2","2026-08-27T21:21:06.9104653+05:30","2026-08-27T21:22:00.3103824+05:30","128","128","19.444975","6.582677","30.298466","4.224637"
"gemma3","neon","4","4","False","41.2","41.3","2026-08-27T21:22:00.4619219+05:30","2026-08-27T21:22:25.7129462+05:30","128","128","9.441243","13.557537","13.397089","9.554315"
